6657abeb25f99,"Créer un blog avec WordPress",Blog,Inscrivez-vous sur un hébergeur web (ex : Bluehost ou SiteGround).    Installez WordPress via le panneau de contrôle de l'hébergeur.  Connectez-vous à l'interface d'administration de WordPress. Choisissez un thème sous "Apparence puis Thèmes". Installez et activez le thème choisi. Créez votre première page sous "Pages puis Ajouter". Ajoutez des articles sous "Articles puis Ajouter". Configurez les menus sous "Apparence puis Menus". Installez des plugins utiles sous "Extensions puis Ajouter". Publiez votre blog et partagez-le., Pas de commentaires,
6657adfb299a2,Faire une omelette,Cuisine,Battez 3 œufs salez et poivrez faites chauffer une poêle avec du beurre versez les œufs laissez cuire ajoutez du fromage pliez laissez cuire une minute servez chaud.,Pas de commentaires
6657ae003a5d6,Débuter en course à pied,Sport,Choisissez des chaussures adaptées échauffez-vous alternez marche et course augmentez la durée de course courez 3 fois par semaine hydratez-vous étirez-vous écoutez votre corps utilisez une application amusez-vous,Pas de commentaires
6657ae0534e76,Jouer un accord de guitare,Musique,Prenez une guitare accordée placez vos doigts sur les cases indiquées strummez les cordes répétez pour mémoriser changez entre accords jouez lentement augmentez la vitesse pratiquez régulièrement,Pas de commentaires
6657ae0a5d022,Cultiver des herbes aromatiques,Jardinage,Choisissez des pots avec drainage remplissez-les de terreau plantez des herbes arrosez placez ensoleillé arrosez régulièrement taillez pour croissance utilisez en cuisine fertilisez mensuellement profitez,Pas de commentaires
6657ae0f4ac84,Apprendre à méditer,Meditation,Trouvez un endroit calme asseyez-vous confortablement fermez les yeux concentrez-vous sur votre respiration inspirez profondément expirez lentement laissez les pensées passer méditez 5-10 minutes augmentez progressivement pratiquez quotidiennement,Pas de commentaires
6657ae13c6b5a,Planter un jardin urbain,Jardinage,Choisissez des pots ou jardinières remplissez de terreau plantez des légumes ou herbes placez ensoleillé arrosez régulièrement taillez et récoltez fertilisez légèrement protégez des nuisibles faites la rotation des cultures savourez votre récolte,Pas de commentaires
6657ae191e96b,Prendre de belles photos,Photographie,Utilisez une bonne lumière choisissez un sujet intéressant composez avec la règle des tiers utilisez un trépied si nécessaire ajustez les paramètres de l’appareil prenez plusieurs clichés vérifiez les photos retouchez légèrement partagez vos photos,Pas de commentaires
6657ae1da9ccd,Faire un smoothie,Cuisine,Choisissez des fruits frais coupez en morceaux ajoutez du yaourt ou du lait ajoutez du miel ou du sucre mixez jusqu'à consistance lisse ajoutez des glaçons mixez à nouveau versez dans un verre dégustez frais,Pas de commentaires
6657ae2174184,Organiser une fête réussie,Vacances,Choisissez une date et un thème envoyez des invitations planifiez le menu décorez selon le thème préparez des activités ou jeux assurez-vous d’avoir assez de sièges créez une playlist accueillez vos invités amusez-vous et profitez,Pas de commentaires
6657ae252b1a8,Apprendre à nager,Sport,Trouvez une piscine inscrivez-vous à des cours commencez par les bases (flottement respiration) pratiquez les mouvements de bras et de jambes combinez mouvements et respiration nagez régulièrement améliorez votre technique augmentez la distance,Pas de commentaires
6657b055a1f2c,"Faire un gâteau au chocolat",Cuisine,"Préchauffez le four mélangez les ingrédients secs (farine cacao sucre) ajoutez les ingrédients humides (œufs lait huile) versez dans un moule enfournez laissez refroidir démoulez ajoutez un glaçage dégustez","Pas de commentaire"
6657b079ed7f9,"Créer un budget personnel",Finance,"Listez vos revenus notez vos dépenses mensuelles catégorisez les dépenses (logement nourriture loisirs) fixez des limites pour chaque catégorie suivez vos dépenses quotidiennement ajustez le budget si nécessaire économisez régulièrement","Pas de commentaire"
6657b0980f814,"Jouer aux échecs",Sport,"Apprenez les règles de base mémorisez le déplacement des pièces pratiquez les ouvertures développez vos pièces rapidement protégez votre roi planifiez vos coups anticipez les mouvements adverses jouez régulièrement analysez vos parties","Pas de commentaire"
6657b0b05ca39,"Apprendre les bases du yoga",Sport,"Choisissez un espace calme utilisez un tapis de yoga commencez par des postures simples (chien tête en bas cobra) concentrez-vous sur la respiration suivez une vidéo ou un cours pratiquez régulièrement augmentez la difficulté progressivement","Pas de commentaire"